Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1214     0.00     0.00  std::char_traits<char>::eof()
  0.00      0.00     0.00     1010     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      0.00     0.00      606     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      0.00     0.00      546     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::base() const
  0.00      0.00     0.00      464     0.00     0.00  CMatrix::reset()
  0.00      0.00     0.00      436     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator*() const
  0.00      0.00     0.00      412     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator++()
  0.00      0.00     0.00      406     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
  0.00      0.00     0.00      388     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char*, std::string> >(__gnu_cxx::__normal_iterator<char*, std::string>)
  0.00      0.00     0.00      253     0.00     0.00  CMatrix::~CMatrix()
  0.00      0.00     0.00      249     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&)
  0.00      0.00     0.00      203     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
  0.00      0.00     0.00      202     0.00     0.00  bool std::operator!=<char, std::char_traits<char> >(std::istreambuf_iterator<char, std::char_traits<char> > const&, std::istreambuf_iterator<char, std::char_traits<char> > const&)
  0.00      0.00     0.00      200     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
  0.00      0.00     0.00      200     0.00     0.00  std::char_traits<char>::to_char_type(int const&)
  0.00      0.00     0.00      200     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
  0.00      0.00     0.00      177     0.00     0.00  CMatrix::copy(CMatrix const&)
  0.00      0.00     0.00      150     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >::base() const
  0.00      0.00     0.00      142     0.00     0.00  CMatrix* std::__addressof<CMatrix>(CMatrix&)
  0.00      0.00     0.00      130     0.00     0.00  CMatrix::CMatrix(CMatrix const&)
  0.00      0.00     0.00       88     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::size() const
  0.00      0.00     0.00       80     0.00     0.00  CMatrix::setSubMatrix(int, int, CMatrix const&)
